ID,Evacuate,KnowEstab,SLRPers,SSDPers,ARelocate,Aprotect,ANoRecover,PCUnexp,PCAbleMov,PCNoRecov,Age_Cat,Hincome,Education,NotHS,HS,SomeCollege,AssocVoc,Bach,SomeGrad,Grad,Ethnicity,White,Hispanic,Afam,Other,HomeLang,EngOnly,EngPrim,EngSec,EngNot,FldRisk,Gender,Female
272,1,0,2,-1,0,-2,0,0,0,0,1,4,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
126,4,0,-1,-1,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,3,0,0,1,0,2,0,1,0,0,1,1,1
182,2,-1,-2,1,1,-1,-1,-1,1,0,1,1,3,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
302,3,0,-1,1,-1,-1,-1,1,1,1,1,1,2,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,2,0
52,3,1,0,2,-1,-1,-1,-1,1,1,1,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
136,4,-2,0,1,-2,-2,-2,-2,-2,-2,1,2,2,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
110,2,-2,1,1,2,2,0,2,-2,-2,2,1,4,0,0,0,1,0,0,0,7,0,0,0,1,2,0,1,0,0,1,1,1
299,2,1,-1,0,0,1,1,0,-1,0,1,7,7,0,0,0,0,0,0,1,3,0,0,1,0,1,1,0,0,0,1,1,1
323,2,-2,-1,0,0,1,2,0,-2,-2,2,1,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
204,3,-2,0,1,-2,2,-2,-2,-2,2,3,4,1,1,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,2,0
270,3,0,1,2,0,0,1,0,1,0,2,2,3,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
68,2,-1,0,1,-2,0,-1,-1,1,1,2,5,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
239,1,1,0,1,-2,-2,0,1,0,0,3,1,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
4,1,0,-1,0,0,-1,1,1,0,-1,2,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
325,2,-1,-1,1,0,-1,-1,1,1,0,3,4,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1
7,2,0,2,0,-1,0,0,0,1,0,2,2,6,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,2,0
88,1,1,1,2,1,0,2,2,-1,-2,2,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
282,2,0,-2,-2,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
298,3,-2,-2,-1,1,1,-2,0,2,0,1,1,3,0,0,1,0,0,0,0,7,0,0,0,1,1,1,0,0,0,1,1,1
189,3,-1,0,1,-1,-1,2,-2,1,-1,2,6,3,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,2,0
263,1,0,0,1,0,1,0,-1,1,0,2,1,3,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
253,3,-1,0,2,0,1,1,1,1,0,2,6,6,0,0,0,0,0,1,0,7,0,0,0,1,1,1,0,0,0,1,1,1
257,1,1,0,1,-1,1,-1,-1,-1,-1,3,5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
317,1,-1,1,2,2,2,2,2,1,1,2,1,3,0,0,1,0,0,0,0,7,0,0,0,1,2,0,1,0,0,1,1,1
213,3,-2,0,1,-1,0,1,0,1,1,1,1,3,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,1,1
64,2,-2,0,1,2,0,1,-1,2,1,2,1,4,0,0,0,1,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
286,1,2,0,1,-2,1,-2,-1,1,1,4,5,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
287,2,-1,0,1,1,1,-1,0,-1,0,2,3,5,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
19,3,-2,1,1,0,0,0,1,0,-1,1,1,2,0,1,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,1,1
242,3,-1,1,1,1,-1,-1,2,1,1,3,1,3,0,0,1,0,0,0,0,7,0,0,0,1,2,0,1,0,0,1,1,1
269,2,-1,-1,-1,0,0,0,-1,1,0,2,3,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
179,2,-2,2,-1,-1,1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
251,3,1,-1,0,1,0,1,0,0,0,1,3,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
328,1,0,-2,-2,-2,1,-2,-2,2,1,3,4,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
10,1,-1,2,1,-1,1,1,-1,1,-1,2,3,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
194,1,-1,1,2,-1,1,1,1,1,0,4,2,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
90,1,0,0,1,0,0,1,1,1,-1,4,7,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,2,0
168,4,-1,0,-1,-2,-1,-1,-1,1,1,2,1,2,0,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,1,1
276,3,-1,2,1,-1,1,0,0,1,1,1,1,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
330,2,1,2,0,0,1,1,1,1,1,1,1,5,0,0,0,0,1,0,0,4,0,0,0,1,1,1,0,0,0,1,2,0
221,2,1,0,1,0,0,-1,-1,1,1,4,6,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2,0
42,1,-1,-1,-1,-1,1,-1,-1,0,1,4,7,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,2,0
75,3,1,2,-1,0,1,-1,1,1,1,2,3,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
294,3,-1,-1,0,-1,1,-1,-1,0,0,4,3,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
153,3,0,-1,1,0,0,0,0,0,0,2,6,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,2,0
354,1,1,0,1,1,1,1,1,1,1,2,1,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
149,2,0,0,2,0,1,0,-1,0,0,2,3,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
337,3,0,1,2,-1,1,1,1,1,0,2,2,1,1,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,1,1,1
