GISJOIN,COUNTYA,TRACTA,BLKGRPA,PUnder5,PUnder18,POver65,PAfam,PNonWhite,PHisp,PNoDiploma,PCollegePlus,PPov,PRenter,MedValue,PerCapInc,PMobHom
G13005100035024,51,3502,4,0.068611987,0.27681388,0.130126183,0.349369085,0.356466877,0.017350158,0.187134503,1.329032258,0.147826087,0.420289855,123200,19817,0
G13005100036011,51,3601,1,0.061471861,0.244588745,0.074458874,0.730735931,0.730735931,0.076190476,0.178270849,0.619246862,0.239336493,0.617298578,107000,15718,0.009122007
G13005100036012,51,3601,2,0,0.144460028,0.088359046,0.974754558,0.974754558,0,0.046454768,0.324022346,0.282786885,0.62704918,123600,11630,0
G13005100036021,51,3602,1,0.042718447,0.196116505,0.052427184,0.966990291,0.966990291,0,0.173652695,0.301675978,0.182857143,0.554285714,80500,15031,0
G13005100036022,51,3602,2,0.085659288,0.288739172,0.074109721,0.767083734,0.799807507,0.027911453,0.070072993,0.715277778,0.184782609,0.622282609,96200,20272,0
G13005100036023,51,3602,3,0,0.259305211,0.115384615,0.671215881,0.671215881,0.022332506,0.1,0.349557522,0.386138614,0.485148515,82500,13534,0
G13005100036024,51,3602,4,0.025641026,0.134032634,0.134032634,0.447552448,0.472027972,0.10955711,0.197387518,0.738219895,0.078817734,0.36453202,106100,24573,0
G13005100036025,51,3602,5,0.112396694,0.238016529,0.084297521,0.814876033,0.821487603,0,0.044596913,1.3671875,0.347474747,0.549494949,120800,15750,0
G13005100037001,51,3700,1,0.100678733,0.242081448,0.153846154,0.714932127,0.718325792,0.020361991,0.176859504,0.258426966,0.263020833,0.5234375,89600,15361,0.004338395
G13005100037002,51,3700,2,0.029579067,0.22298066,0.034129693,0.703071672,0.736063709,0.025028441,0.17211704,0.452054795,0.281786942,0.546391753,75900,16735,0.024054983
G13005100038001,51,3800,1,0.014827018,0.202635914,0.149917628,0.89538715,0.919275124,0,0.196531792,0.494296578,0.145374449,0.303964758,93300,19775,0
G13005100038002,51,3800,2,0.069240196,0.167279412,0.042279412,0.773284314,0.786764706,0.026960784,0.155902004,1.422535211,0.384615385,0.594405594,94700,12746,0
G13005100039001,51,3900,1,0.012771392,0.09706258,0.326947637,0.079182631,0.094508301,0.01660281,0.086757991,1.218579235,0.075409836,0.318032787,177000,27024,0.027108434
G13005100039002,51,3900,2,0.082352941,0.244444444,0.105882353,0.699346405,0.699346405,0,0.279569892,0.550458716,0.304109589,0.498630137,96200,16127,0
G13005100039003,51,3900,3,0.047619048,0.388528139,0.186147186,0.641774892,0.641774892,0.032467532,0.088421053,0.384615385,0.147887324,0.264084507,146000,14746,0
G13005100039004,51,3900,4,0.019966722,0.311980033,0.051580699,0.929284526,0.929284526,0,0.116104869,0.183673469,0,0.446366782,98600,12865,0
G13005100040011,51,4001,1,0.078911565,0.201360544,0.368707483,0.208163265,0.208163265,0,0.09252669,5.87037037,0.139784946,0.150537634,373600,58165,0
G13005100040012,51,4001,2,0.03500761,0.120243531,0.345509893,0.04261796,0.051750381,0,0.029411765,4.71641791,0.154798762,0.164086687,175900,36751,0
G13005100040013,51,4001,3,0.045708955,0.241604478,0.280783582,0.030783582,0.064365672,0.041977612,0.009913259,2.443708609,0.03803132,0.371364653,188100,35566,0
